Competition,date,time,Venue,HomeTeam,Home Score,Away Score,Away team,Ref
U16 Football League Div.3,19 Jul,19:30,St Annes 14,Naomh Barrog,"
										0-10
									","
										6-9
									",Fingallians A,Danny Harrington Naomh Mearnog
U16 Football League Div.3,13 Jul,19:30,Pairc Ciceam,Ballymun Kickhams,"
										1-12
									","
										1-14
									",Fingallians A,Derek Doran St Colmcilles
U16 Football League Div.3,09 Jul,15:00,Russell Park,St Brigids,"
										6-7
									","
										4-15
									",Westmanstown Gaels,Fergus McGreevy Nh. OP/ER
U16 Football League Div.3,09 Jul,14:00,Pairc Ciceam,Ballymun Kickhams,"
										2-8
									","
										2-9
									",Cuala A,Ian Howley-O Dwyers
U16 Football League Div.3,09 Jul,14:00,HolyWell,Fingallians A,"
										1-14
									","
										2-13
									",St Oliver Plunkett ER,Derek Doran St Colmcilles
U16 Football League Div.3,09 Jul,14:00,St Annes 14,Naomh Barrog,"
										2-15
									","
										4-6
									",Craobh Chiarain,D P Ryan-St Patricks P
U16 Football League Div.3,25 Jun,14:30,Shanganagh Park,Cuala A,"
										3-9
									","
										1-6
									",St Brigids,D P Ryan-St Patricks P
U16 Football League Div.3,18 Jun,15:00,Shanganagh Park,Cuala A,"
										2-16
									","
										1-11
									",Westmanstown Gaels,Caomhan Bermingham Nh. Olaf
U16 Football League Div.3,17 May,19:30,Clonshaugh,Craobh Chiarain,"
										2-8
									","
										1-9
									",Fingallians A,Derek Doran St Colmcilles
U16 Football League Div.3,17 May,19:30,Westmanstown Sports Centre,Westmanstown Gaels,"
										2-7
									","
										0-8
									",Ballymun Kickhams,Tom Tansey St Brendans
U16 Football League Div.3,17 May,19:30,Martin Savage Park,St Oliver Plunkett ER,"
										2-15
									","
										2-5
									",Naomh Barrog,Rory Hanley St Brigids
U16 Football League Div.3,05 May,19:30,St Annes 14,Naomh Barrog,"
										1-10
									","
										5-8
									",Cuala A,George Williams -Trinity Gaels
U16 Football League Div.3,05 May,19:30,Clonshaugh,Craobh Chiarain,"
										W/O
									","
										W/O
									",Ballymun Kickhams,Fergus McGreevy Nh. OP/ER
U16 Football League Div.3,05 May,19:30,Russell Park,St Brigids,"
										2-15
									","
										2-13
									",St Oliver Plunkett ER,Dermot Deasy Ballymun Kickhams
U16 Football League Div.3,05 May,19:30,HolyWell,Fingallians A,"
										3-16
									","
										1-9
									",Westmanstown Gaels,Conor Kavanagh Naomh Mearnog
U16 Football League Div.3,07 Apr,18:45,Shanganagh Park,Cuala A,"
										1-8
									","
										4-7
									",Fingallians A,Seamus Farrelly Ballinteer St. John
U16 Football League Div.3,07 Apr,18:45,Pairc Ciceam,Ballymun Kickhams,"
										0-8
									","
										1-7
									",St Brigids,David Cullen Fingallians
U16 Football League Div.3,07 Apr,18:45,Westmanstown Sports Centre,Westmanstown Gaels,"
										3-9
									","
										3-13
									",Naomh Barrog,Fergus McGreevy Nh. OP/ER
U16 Football League Div.3,07 Apr,18:45,Martin Savage Park,St Oliver Plunkett ER,"
										1-16
									","
										2-5
									",Craobh Chiarain,Ronnie Malone-St Marys
U16 Football League Div.3,26 Mar,15:00,HolyWell,Fingallians A,"
										8-15
									","
										2-6
									",St Brigids,Adrian Kavanagh Naomh Mearnog
U16 Football League Div.3,26 Mar,15:00,Clonshaugh,Craobh Chiarain,"
										0-0
									","
										0-0
									",Cuala A,Liam Aherne Clarke Ballyboughal
